id,name,typecode,addr,gcj,wgs,cell_id,wgs_lng,wgs_lat,kind
B0FFI7QT82,艾森精选酒店(上海九亭地铁站店),100100,九新公路11弄15号3层,"121.316248,31.135316","121.311740,31.137313",5128,121.31174,31.137313,hotel
B0I3FRVDFF,慕缌电竞酒店(上海九亭地铁站店),100100,九亭镇沪松公路1399弄255号,"121.321933,31.138072","121.317412,31.140057",5128,121.317412,31.140057,hotel
B0FFI1OFRN,柚米寓(九亭U天地店),100200,九亭镇蒲汇路178号旭辉九亭u天地6号楼,"121.324585,31.140347","121.320058,31.142326",5128,121.320058,31.142326,hotel
B0G04S89EF,宝龙公寓(九亭站店),100200,九里亭街道沪亭北路199弄10号楼1235室,"121.316418,31.14157","121.311909,31.143564",5128,121.311909,31.143564,hotel
B0FFG2EZ3F,慕思酒店(上海九亭地铁站店),100100,沪松公路1399弄255号(九亭地铁站1号口步行270米),"121.322012,31.138201","121.317491,31.140186",5128,121.317491,31.140186,hotel
B0FFJ8AY43,上海久伴酒店(九亭地铁站店),100100,沪松公路1399弄九久青年城二期6号商铺,"121.321154,31.137938","121.316635,31.139925",5128,121.316635,31.139925,hotel
B0G0J7IVUX,柚米寓(九亭中心店),100200,沪亭北路199号九亭中心8号楼,"121.316985,31.140876","121.312475,31.142869",5128,121.312475,31.142869,hotel
B0KARS7S04,云欣公寓(上海九亭地铁站店),100200,沪松公路九久青年城2期21号楼1楼,"121.320906,31.137305","121.316387,31.139292",5128,121.316387,31.139292,hotel
B0JRKXXJVK,罡缘公寓(上海九亭地铁站店),100200,沪松公路九久青年城2期21号楼1层,"121.320932,31.137287","121.316413,31.139274",5128,121.316413,31.139274,hotel
B0L3KPBGLW,云欣青旅(九亭地铁站店),100201,沪松公路1399弄205号(九亭地铁站2号口步行230米),"121.321009,31.13666","121.316490,31.138648",5128,121.31649,31.138648,hotel
B0FFJW0NBC,上海九九青年旅社,100201,沪松公路1399弄120号(九亭地铁站3号口步行60米),"121.319433,31.136974","121.314918,31.138964",5128,121.314918,31.138964,hotel
B0LKFXVBPA,怡居小屋民宿,100200,卓亭路与沪亭北路交叉口西120米,"121.318075,31.140825","121.313562,31.142816",5128,121.313562,31.142816,hotel
B0MBYU59JV,猫想家猫咪寄养酒店,100100,九亭镇蒲汇路168号九亭U天地4号楼1209室,"121.324394,31.139417","121.319867,31.141397",5128,121.319867,31.141397,hotel
B0KDOKOVBP,橙果公寓(九亭金地广场店),100200,九里亭街道沪亭北路99弄九亭金地广场6号,"121.318242,31.140158","121.313729,31.142149",5128,121.313729,31.142149,hotel
